Wavenumbers	Absorbance/g
cm\+(-1)	
2897.03	137.34286
2898.95	137.55429
2900.88	137.56
2902.8	137.78571
2904.73	137.85571
2906.65	137.84143
2908.58	137.99143
2910.5	137.92143
2912.43	138.04714
2914.35	138.17286
2916.28	138.28857
2918.2	138.31429
2920.13	138.45
2922.05	138.51429
2923.98	138.6
2925.9	138.61571
2927.83	138.64571
2929.75	138.6
2931.68	138.64571
2933.6	138.58
2935.53	138.67
2937.45	138.59571
2939.38	138.66571
2941.3	138.73571
2943.23	138.72571
2945.15	138.87714
2947.08	139.05286
2949	139.11857
2950.93	139.17286
2952.85	139.23429
2954.78	139.26429
2956.7	139.52
2958.63	139.63143
2960.55	139.53571
2962.48	139.52
2964.4	139.47571
2966.33	139.4
2968.25	139.33
2970.18	139.31857
2972.1	139.19857
2974.03	139.21429
2975.95	139.05714
2977.88	139.09286
2979.8	139.08286
2981.73	138.95714
2983.65	138.95714
2985.58	138.88143
2987.5	138.84143
2989.43	138.85714
2991.35	138.80143
2993.28	138.81714
2995.2	138.79571
2997.13	138.80571
2999.05	138.86714
3000.98	138.79571
3002.9	138.96286
3004.83	138.95714
3006.75	138.94286
3008.68	139.02714
3010.6	139.07857
3012.53	139.12286
3014.45	139.16286
3016.38	139.17857
3018.3	139.25857
3020.23	139.28857
3022.15	139.24429
3024.08	139.36429
3026	139.28429
3027.93	139.39
3029.85	139.42429
3031.78	139.40429
3033.7	139.46
3035.62	139.51
3037.55	139.55571
3039.47	139.51
3041.4	139.57
3043.32	139.58
3045.25	139.55571
3047.17	139.61571
3049.1	139.68143
3051.02	139.73143
3052.95	139.82714
3054.87	139.74143
3056.8	139.86286
3058.72	139.87714
3060.65	139.94286
3062.57	139.85286
3064.5	139.95286
3066.42	139.90714
3068.35	140.04286
3070.27	139.99857
3072.2	140.06286
3074.12	140.08857
3076.05	140.18857
3077.97	140.18429
3079.9	140.17857
3081.82	140.18429
3083.75	140.25429
3085.67	140.30429
3087.6	140.35
3089.52	140.32
3091.45	140.42
3093.37	140.44571
3095.3	140.50143
3097.22	140.53571
3099.15	140.52571
3101.07	140.52571
3103	140.57143
3104.92	140.60143
3106.85	140.63143
3108.77	140.66714
3110.7	140.66714
3112.62	140.77714
3114.55	140.83286
3116.47	140.86286
3118.4	140.85286
3120.32	140.95286
3122.25	140.95857
3124.17	141.01429
3126.1	141.07857
3128.02	141.04857
3129.95	141.04857
3131.87	141.08857
3133.8	141.17
3135.72	141.19429
3137.65	141.25
3139.57	141.28571
3141.5	141.37
3143.42	141.44143
3145.35	141.45143
3147.27	141.46143
3149.2	141.52143
3151.12	141.57143
3153.05	141.65714
3154.97	141.69286
3156.9	141.71714
3158.82	141.72286
3160.75	141.79857
3162.67	141.85857
3164.6	141.89286
3166.52	141.89857
3168.45	141.94857
3170.37	142.00429
3172.3	142.03857
3174.22	142.08429
3176.15	142.14429
3178.07	142.25
3180	142.29
3181.92	142.37571
3183.85	142.38143
3185.77	142.45143
3187.69	142.52714
3189.62	142.55714
3191.54	142.52143
3193.47	142.56286
3195.39	142.64286
3197.32	142.70857
3199.24	142.76857
3201.17	142.83429
3203.09	142.79286
3205.02	142.98571
3206.94	142.98571
3208.87	143.02857
3210.79	143.12857
3212.72	143.11429
3214.64	143.18571
3216.57	143.25714
3218.49	143.31429
3220.42	143.37143
3222.34	143.47143
3224.27	143.4
3226.19	143.48571
3228.12	143.58571
3230.04	143.58571
3231.97	143.7
3233.89	143.7
3235.82	143.81429
3237.74	143.74286
3239.67	143.88571
3241.59	143.9
3243.52	143.98571
3245.44	144.05714
3247.37	144.22857
3249.29	144.21429
3251.22	144.22857
3253.14	144.21429
3255.07	144.34286
3256.99	144.37143
3258.92	144.48571
3260.84	144.48571
3262.77	144.6
3264.69	144.6
3266.62	144.6
3268.54	144.62857
3270.47	144.78571
3272.39	144.77143
3274.32	144.87143
3276.24	144.97143
3278.17	144.95714
3280.09	145.08571
3282.02	145.08571
3283.94	145.24286
3285.87	145.24286
3287.79	145.31429
3289.72	145.34286
3291.64	145.44286
3293.57	145.48571
3295.49	145.55714
3297.42	145.61429
3299.34	145.64286
3301.27	145.72857
3303.19	145.81429
3305.12	145.85714
3307.04	145.9
3308.97	145.97143
3310.89	146.05714
3312.82	146.15714
3314.74	146.14286
3316.67	146.37143
3318.59	146.41429
3320.52	146.38571
3322.44	146.44286
3324.37	146.55714
3326.29	146.62857
3328.22	146.72857
3330.14	146.75714
3332.07	146.88571
3333.99	146.97143
3335.92	147.11429
3337.84	147.21429
3339.76	147.35714
3341.69	147.48571
3343.61	147.48571
3345.54	147.64286
3347.46	147.68571
3349.39	147.77143
3351.31	147.98571
3353.24	148.04286
3355.16	148.14286
3357.09	148.21429
3359.01	148.34286
3360.94	148.37143
3362.86	148.55714
3364.79	148.67143
3366.71	148.8
3368.64	148.85714
3370.56	149.05714
3372.49	149.12857
3374.41	149.35714
3376.34	149.6
3378.26	149.62857
3380.19	149.87143
3382.11	150.04286
3384.04	150.22857
3385.96	150.4
3387.89	150.52857
3389.81	150.71429
3391.74	150.92857
3393.66	151.14286
3395.59	151.31429
3397.51	151.52857
3399.44	151.77143
3401.36	152.01429
